"tg" "sex" "age" "weight" "cage"
1 1 119 31.2 7
1 1 119 28.4 7
1 1 119 30.8 7
1 1 119 30.3 7
1 1 119 30.5 7
1 1 119 31.4 7
1 1 119 29.7 7
1 1 119 31 7
1 1 119 30.3 7
1 1 119 28 7
1 1 114 34.3 8
1 1 114 31.9 8
1 1 114 33.3 8
1 1 114 38.6 8
1 1 114 31.3 8
1 1 114 38.1 8
1 1 114 38.8 8
1 1 114 38.8 8
1 1 114 38.6 8
1 1 115 32.4 9
0 1 115 28.1 9
1 1 115 30 9
0 1 115 29.1 10
1 1 115 31.4 10
0 1 109 30.9 11
1 1 109 31.7 11
1 1 109 40.9 11
1 1 121 34.5 12
1 1 121 29.6 12
0 1 121 29.8 12
0 1 121 30.1 12
1 1 121 31.5 12
1 1 121 31.4 12
1 1 114 31.7 13
0 1 114 32.4 13
1 1 114 30 13
1 1 114 33.3 13
0 1 114 34.5 13
1 1 112 30 14
0 1 112 28.8 14
1 1 112 31.7 14
1 1 112 29.2 14
0 1 114 34.9 15
1 1 114 33.5 15
1 1 114 31.5 15
1 1 114 34.6 15
1 1 114 32.6 15
0 1 114 30.6 15
1 1 114 33.7 15
1 1 114 33.3 15
0 1 114 32 15
1 1 121 32.1 16
1 1 121 33.5 16
0 1 121 33.5 16
1 1 121 31.8 16
1 1 121 30.9 16
0 1 121 33.4 16
1 1 121 32.7 16
1 1 121 32.2 16
1 1 120 29.2 17
0 1 120 29.8 17
1 1 120 33.5 17
1 1 120 32.6 17
1 1 113 29.4 18
1 1 120 31.3 19
1 1 120 31.1 19
0 1 120 31 19
1 1 120 34.1 19
0 1 120 32.9 19
1 1 102 28.8 20
1 1 102 26.1 20
1 1 102 29.3 20
0 1 102 29.3 20
0 1 102 29 20
1 1 102 28.9 20
0 1 102 29.8 20
1 1 102 29.2 20
0 1 113 31.8 21
0 1 113 28.9 21
0 1 113 30.9 21
0 1 113 29.6 21
1 1 113 32.7 21
0 1 113 29.1 21
1 1 113 31.8 21
0 1 113 30.7 21
1 1 115 31.8 22
1 1 115 32.7 22
0 1 115 29.1 22
0 1 115 32.3 22
1 1 115 32.7 22
0 1 115 30.5 22
0 1 115 31.9 22
1 1 115 32.1 22
0 1 115 31.2 22
0 0 115 27.1 23
1 0 115 26 23
1 0 115 25.7 23
0 0 115 27.6 23
0 0 115 23 23
1 0 115 28.7 24
1 0 113 26.9 25
0 0 113 27.2 25
0 0 115 25.7 26
1 0 115 23.2 26
1 0 115 27.1 26
0 0 115 28.9 26
1 0 115 23.1 26
1 0 109 22.8 27
1 0 109 27 27
0 0 109 25.1 27
0 0 109 27.7 28
1 0 109 23.8 28
1 0 120 23.2 29
1 0 121 25.2 30
1 0 121 24.4 30
1 0 121 24.1 30
0 0 121 26.2 30
0 0 119 29 31
0 0 102 23.8 32
0 0 102 25.7 32
1 0 102 24.4 32
0 0 121 25.4 33
0 0 121 24.1 33
0 0 121 25.1 33
1 0 121 25.6 33
0 0 121 25 33
1 0 121 25.2 33
0 0 121 24.3 33
0 0 121 26.2 33
0 0 121 25.3 33
0 0 121 28.1 33
0 0 120 23.2 34
1 0 120 24.2 34
1 0 120 27.5 34
1 0 120 22.6 34
1 0 120 23.9 34
0 0 120 22.3 34
1 0 120 23.1 34
0 0 120 25.1 34
1 0 120 26.1 34
1 0 115 23.3 35
1 0 115 22.9 35
0 0 115 27 35
0 0 115 26.2 35
1 0 115 25.3 35
1 0 115 25.8 35
1 0 115 23.8 35
0 0 115 23.3 35
1 0 115 25.3 35
0 0 115 26.7 35
0 0 113 25.8 36
0 0 113 25.8 36
1 0 113 24.3 36
0 0 113 24.2 36
1 0 113 29.1 36
1 0 113 23.6 36
0 0 113 24.8 36
0 0 113 28.1 36
0 0 113 26.4 36
1 0 113 22.8 36
0 0 115 30.2 37
1 0 115 28.5 37
0 0 115 24.4 37
0 0 115 25.5 37
1 0 115 21.9 37
1 0 115 24.8 37
0 0 115 24 37
0 0 115 23.9 37
1 0 115 30.4 37
1 0 115 28.8 37
1 0 113 23 38
0 0 113 23.1 38
0 0 113 23.1 38
0 0 113 25.7 38
1 0 113 21.9 38
0 0 113 22.5 38
0 0 113 23.1 38
