"Country","Sex","Perc_Sex00","R00","M00","S00","Perc_Sex06","R06","M06","S06"
"Australia    ",1,47.50,546,527,529,48.86,532,513,527
"Australia    ",2,52.50,513,539,526,51.14,495,527,527
"Austria      ",1,48.76,509,492,502,49.06,513,494,507
"Austria      ",2,51.24,476,512,507,50.94,468,517,515
"Belgium      ",1,47.46,525,518,498,47.58,522,517,510
"Belgium      ",2,51.71,492,524,496,52.42,482,524,511
"Canada       ",1,50.08,551,529,531,49.74,543,520,532
"Canada       ",2,49.91,519,539,529,50.26,511,534,536
"Czech        ",1,51.60,510,492,511,43.42,509,504,510
"Czech        ",2,48.28,473,504,512,56.58,463,514,515
"Denmark      ",1,49.69,510,507,476,50.28,509,508,491
"Denmark      ",2,50.31,485,522,488,49.72,480,518,500
"Finland      ",1,51.42,571,536,541,50.35,572,543,565
"Finland      ",2,48.58,520,537,534,49.65,521,554,562
"France       ",1,51.34,519,511,498,51.45,505,492,494
"France       ",2,48.66,490,525,504,48.55,470,499,497
"Germany      ",1,49.22,502,483,487,48.42,517,494,512
"Germany      ",2,49.91,468,498,489,51.58,475,513,519
"Greece       ",1,49.80,493,444,464,49.74,488,457,479
"Greece       ",2,50.20,456,451,457,50.26,432,462,468
"Hungary      ",1,49.25,496,485,497,47.93,503,486,501
"Hungary      ",2,50.06,465,492,496,52.07,463,496,507
"Iceland      ",1,50.13,528,518,499,49.60,509,508,494
"Iceland      ",2,49.27,488,513,495,50.40,460,503,488
"Ireland      ",1,50.44,542,497,517,50.59,534,496,509
"Ireland      ",2,49.56,513,510,511,49.41,500,507,508
"Italy        ",1,48.99,507,454,483,50.45,489,453,474
"Italy        ",2,50.42,469,462,474,49.55,448,470,477
"Japan        ",1,50.52,537,553,554,49.87,513,513,530
"Japan        ",2,49.48,507,561,547,50.13,483,533,533
"Korea        ",1,44.12,533,532,541,49.30,574,543,523
"Korea        ",2,55.88,519,559,561,50.70,539,552,521
"Luxembourg   ",1,50.06,456,439,448,49.40,495,482,482
"Luxembourg   ",2,49.94,429,454,441,50.60,464,498,491
"Mexico       ",1,48.87,432,382,419,51.88,427,401,406
"Mexico       ",2,48.86,411,393,423,48.12,393,410,413
"New Zealand  ",1,49.73,553,539,535,51.62,539,517,532
"New Zealand  ",2,50.25,507,536,523,48.38,502,527,528
"Norway       ",1,48.56,529,495,505,48.31,508,487,489
"Norway       ",2,50.55,486,506,499,51.69,462,493,484
"Poland       ",1,49.13,497,468,480,50.34,528,491,496
"Poland       ",2,50.87,461,472,486,49.66,487,500,500
"Portugal     ",1,51.60,482,446,462,51.69,488,459,472
"Portugal     ",2,47.72,458,464,456,48.31,455,474,477
"Spain        ",1,50.08,505,469,491,49.44,479,476,486
"Spain        ",2,48.57,481,487,492,50.56,443,484,491
"Sweden       ",1,49.11,536,507,513,48.74,528,500,503
"Sweden       ",2,50.62,499,514,512,51.26,488,505,504
"Switzerland  ",1,49.48,510,523,493,48.43,515,523,509
"Switzerland  ",2,49.85,480,537,500,51.57,484,536,514
"UK           ",1,50.40,537,526,531,50.46,510,487,510
"UK           ",2,49.57,512,534,535,49.54,480,504,520
